Chapter,English,French,Pages
Supp-1,Agricultural Products Cooperative Marketing Act Amendment,"Vente cooperative des produits agricoles, loi modificatrice",23-24
Supp-2,Arctic Waters Pollution Prevention Act,Prevention de la pollution des eaux arctiques,25-48
Supp-3,"Banks, Quebec Savings, Act Amendment","Banques d'epargne de Quebec, loi modificatrice",49-50
Supp-4,Bills of Exchange Act Amendment,"Lettres de change, loi modificatrice",51-54
Supp-5,Canada Water Act,Ressources en eau du Canada,55-84
Supp-6,Canadian Forces Superannuation Act Amendment,"Pension de retraite des Forces canadiennes, loi modificatrice",85-88
Supp-7,Cape Breton Development Corporation Act Amendment,"Societe de developpement du Cap-Breton, loi modificatrice",89-90
Supp-8,Coastal Fisheries Protection Act Amendment,"Pecheries cotieres (Protection), loi modificatrice",91-92
Supp-9,Company of Young Canadians Act Amendment,"Compagnies des jeunes Canadians, loi modificatrice",93-96
Supp-10,"Corporations, Canada, Act Amendment","Corporations canadiennes, loi modificatrice",97-198
Supp-11,Criminal Code Amendment,"Code criminel, loi modificatrice",199-204
Supp-12,Criminal Records Act,Casier judiciaire,205-210
Supp-13,Diplomatic Service (Special) Superannuation Act Amendment,"Pension sp^ciale du service diplomatique, loi modificatrice",211-214
Supp-14,Elections Canada Act,Electorate (Loi),"215-405,528-590,592-595,597-600,602-614"
Supp-15,Excise Act Amendment,"Accise, loi modificatrice",615-632
Supp-16,Expropriation Act,Expropriation,633-682
Supp-17,Fisheries Act Amendment,"Pecheries, loi modificatrice",683-694
Supp-18,Industrial Research and Development Incentives Act Amendment,"Recherche et deVeloppement scientifiques, loi moditicatrice",695-698
Supp-19,"Insurance Companies, Canadian and British, Act Amendment","Compagnies d assurance canadiennes et britanniques, loi modificatrice",699-758
Supp-20,"Insurance Companies, Foreign, Act Amendment","Compagnies d'assurance etrangeres, loi modificatrice",767-786
Supp-21,International Development Research Centre Act,"
Centre de recherches pour le developpement international",787-796
Supp-22,"Labour Code, Canada, Amendment","Code canadien du travail, loi modificatrice",797-798
Supp-23,Law Reform Commission Act,Commission de reforme du droit,799-808
Supp-24,Loan Companies Act Amendment,"Compagnies de pret, loi modificatrice",809-858
Supp-25,Members of Parliament Retiring Allowances Act Amendment,"Allocations de retraite des membres du Parlement, loi modificatrice",859-878
Supp-26,Motor Vehicle Safety Act,Securite des vehicules automobiles,879-890
Supp-27,National Energy Board Act Amendment,"Office national de l'energie, loi modificatrice",891-904
Supp-28,Northern Inland Waters Act,Eaux interieures du Nord,905-928
Supp-29,Nuclear Liability Act,Responsabilite nucleaire,929-946
Supp-30,Oil and Gas Production and Conservation Act Amendment,"Production et conservation du petrole et du gaz, loi modificatrice",947-952
Supp-31,Parole Act Amendment,"Liberation conditionnelle de detenus, loi modificatrice",953-954
Supp-32,Public Service Superannuation Act Amendment,"Pension de la Fonction publique, loi modificatrice",955-958
Supp-33,Quarantine Act,Quarantaine,959-968
Supp-34,Radiation Emitting Devices Act,Dispositifs emettant des radiations,969-974
Supp-35,Railway Act Amendment,"Chemins de fer, loi modificatrice",975-976
Supp-36,Royal Canadian Mounted Police Superannuation Act Amendment,"Pension de retraite de la Gendarmerie royale du Canada, loi modificatrice",977-980
Supp-37,Saltfish Act,Poisson sale,981-996
Supp-38,"Shipping, Canada, Act Amendment","Marine marchande du Canada, loi modificatrice",997-1000
Supp-39,Shipping Conference Exemption Act,Conferences maritimes (Loi derogatoire),1001-1008
Supp-40,Small Business Loans Act Amendment,"Prets aux petites entreprises, loi modificatrice",1009-1012
Supp-41,Standards Council of Canada Act,Conseil canadien des normes,1013-1022
Supp-42,"Student Loans, Canada, Act Amendment","Prets aux etudiants, loi modificatrice",1023-1028
Supp-43,Supplementary Retirement Benefits Act,Prestations de retraite supplementaires,1029-1036
Supp-44,Supreme Court Act Amendment,"Cour supreme, loi modificatrice",1037-1052
Supp-45,Territorial Sea and Fishing Zones Act Amendment,"Mer territorial et zones de peche, loi modificatrice",1053-1056
Supp-46,Textile Labelling Act,Etiquetage des textiles,1057-1068
Supp-47,Trust Companies Act Amendment,"Compagnies fiduciaires, loi modificatrice",1069-1124
Supp-48,"Yukon Act, Northwest Territories Act and Territorial Lands Acts Amendments","Yukon, Territoires du Nord-Ouest, et Terres territoriales, loi modificatrice",1125-1136
Supp-49,Yukon Placer Mining Act Amendment,"Extraction de l'or dans le Yukon, loi modificatrice",1137-1138
