Chapter,English,French,Pages
P-1,Parliamentary Secretaries,Secretaires parlementaires,23-24
P-2,Parole,Liberation conditionnelle de detenus,25-36
P-3,Passenger Tickets,Billets de transport,37-40
P-4,Patent,Brevets,41-86
P-5,Pawnbrokers,Preteurs sur gage,87-90
P-6,Penitentiary,Penitenciers,91-104
P-7,Pension,Pensions,105-159
P-8,Pension Benefits Standards,Normes des prestations de pensions,163-180
P-9,Pension Fund Societies,Societes de caisse de retraite,181-188
P-10,Pest Control Products,Produits antiparasitaires,189-196
P-11,Pesticide Residue Compensation,Indemnisation pour dommages causes par les pesticides,197-204
P-12,Petition of Right,Petitions de droit,205-210
P-13,Plant Quarantine,Quarantaine des plantes,211-218
P-14,Post Office,Postes,219-250
P-15,Postal Services Interruption Relief,Recours consecutifs a une interruption des services postaux,251-254
P-16,Prairie Farm Assistance,Agriculture des Prairies (Assistance),255-264
P-17,Prairie Farm Rehabilitation,Retablissement agricole des Prairies,265-268
P-18,Prairie Grain Advance Payments,Paiements anticipes pour le grain des Prairies,269-280
P-19,Precious Metals Marking,Poinconnage des metaux precieux,281-290
P-20,Prime Minister's Residence,Residence du premier ministre,291-294
P-21,Prisons and Reformatories,Prisons et maisons de correction,295-360
P-22,Privileges and Immunities (International Organizations),Privileges et immunites des organisations internationales,361-368
P-23,Privileges and Immunities (North Atlantic Treaty Organisation),Privileges et immunites de l'Organisation du Traite de l'Atlantique Nord,369-376
P-24,"Prize, Canada",Prises,377-382
P-25,Proprietary or Patent Medicine,Specialites pharmaceutiques ou medicaments brevetes,383-392
P-26,Provincial Subsidies,Subventions aux provinces,393-398
P-27,Public Archives,Archives publiques,399-402
P-28,Public Documents,Documents publics,403-404
P-29,Public Lands Grants,Concessions de terres publiques,405-408
P-30,Public Officers,Fonctionnaires publics,409-422
P-31,Public Servants Inventions,Inventions des fonctionnaires,423-428
P-32,Public Service Employment,Emploi dans la Fonction publique,429-452
P-33,Public Service Pension Adjustment,Pensions du service public (Mise au point),453-460
P-34,Public Service Rearrangement and Transfer of Duties,Remaniements et transferts dans la fonction publique,461-462
P-35,Public Service Staff Relations,Relations de travail dans la Fonction publique,463-524
P-36,Public Service Superannuation,Pension de la Fonction publique,525-608
P-37,Public Utilities Income Tax Transfer,Transfert de l'impot sur le revenu des entreprises d'utilite publique,609-612
P-38,Public Works,Travaux publics,613-626
P-39,Public Works Health,Hygiene sur les travaux publics,627-628
P-40,Publication of Statutes,Publication des lois,629-632
Q-1,Queen Elizabeth II Canadian Research Fund,Fonds canadien de recherches de la reine Elizabeth II,633-636
R-1,Radio,Radio,637-646
R-2,Railway,Chemins de fer,647-890
R-3,Regional Development Incentives,Subventions au developpement regional,891-900
R-4,"Regional Economic Expansion, Department of",Expansion economique regionale (Ministere),901-908
R-5,Regulations,Reglements,909-912
R-6,Representation Commissioner,Commissaire a la representation,913-918
R-7,Resources and Technical Surveys,Ressources et releves techniques,919-922
R-8,Royal Canadian Mint,Monnaie royale canadienne,923-932
R-9,Royal Canadian Mounted Police,Gendarmerie royale du Canada,933-952
R-10,Royal Canadian Mounted Police Pension Continuation,Continuation des pensions de la Gendarmerie royale du Canada,953-980
R-11,Royal Canadian Mounted Police Superannuation,Pension de retraite de la Gendarmerie royale du Canada,981-1020
R-12,"Royal Style and Titles, An Act respecting the",Designation et titres royaux,1021-1021
S-1,St. Lawrence Seaway Authority,Voie maritime du Saint Laurent (Administration),1023-1034
S-2,Salaries,Traitements,1035-1036
S-3,"Salaries, Statutory Minimum",Traitements minimums fixes par statut,1037-1038
S-4,Satisfied Securities,Liberation des garanties,1039-1040
S-5,Science Council of Canada,Conseil des Sciences du Canada,1041-1046
S-6,Seals,Sceaux,1047-1048
S-7,Seeds,Semences,1049-1054
S-8,Senate and House of Commons,Senat et Chambre des communes,1055-1068
